"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"15OF026351B","38",".504",".693"
"15OF026351B","","",""
"15OF026351B","","",""
"15OF026351B","","",""
"15OF027087B","15",".695",".936"
"15OF027087B","25",".608",".827"
"15OF027087B","35",".531",".73"
"15OF027087B","","",""
"15OF027087B","","",""
"15OF027087B","","",""
"15OF027556B","5","1.512","1.96"
"15OF027556B","15","1.268","1.659"
"15OF027556B","25","1.063","1.405"
"15OF027556B","","",""
"15OF027556B","","",""
"15OF027556B","","",""
"15OF029144B","5","1.037","1.375"
"15OF029144B","15",".893","1.195"
"15OF029144B","25",".777","1.051"
"15OF029144B","","",""
"15OF029144B","","",""
"15OF029144B","","",""
"15OF031008B","15",".689",".925"
"15OF031008B","25",".608",".825"
"15OF031008B","38",".517",".711"
"15OF031008B","","",""
"15OF031008B","","",""
"15OF031008B","","",""
"15OF031746B","15","1.22","1.595"
"15OF031746B","25","1.06","1.389"
"15OF031746B","38",".87","1.16"
"15OF037472C","5",".427",".597"
"15OF037472C","15",".4",".565"
"15OF037472C","25",".379",".542"
"15OF037472C","","",""
"15OF037472C","","",""
"15OF037472C","","",""
"15OF037472D","5",".34",".486"
"15OF037472D","15",".326",".471"
"15OF037472D","25",".312",".456"
"15OF037472D","","",""
"15OF037472D","","",""
"15OF037472D","","",""
"15OF037949B","5",".854","1.138"
"15OF037949B","15",".752","1.012"
"15OF037949B","25",".662",".9"
"15OF037949B","","",""
"15OF037949B","","",""
"15OF037949B","","",""
"15OF039013B","5","2.104","2.709"
"15OF039013B","15","1.555","2.021"
"15OF039013B","25","1.227","1.61"
"15OF039013B","","",""
"15OF039013B","","",""
"15OF039013B","","",""
"15OF039014B","5",".428",".602"
"15OF039014B","15",".397",".564"
"15OF039014B","25",".369",".53"
"15OF039014B","","",""
"15OF039014B","","",""
"15OF039014B","","",""
"15OF039971B","5",".412",".579"
"15OF039971B","15",".384",".545"
"15OF039971B","25",".365",".524"
"15OF039971B","","",""
"15OF039971B","","",""
"15OF039971B","","",""
"15OF040126B","5",".72",".976"
"15OF040126B","15",".632",".866"
"15OF040126B","25",".555",".769"
"15OF040126B","","",""
"15OF040126B","","",""
"15OF040126B","","",""
"15OF041349B","5",".51",".722"
"15OF041349B","15",".457",".654"
"15OF041349B","25",".413",".598"
"15OF041349B","","",""
"15OF041349B","","",""
"15OF041349B","","",""
"15OF043010B","5",".784","1.059"
"15OF043010B","15",".686",".935"
"15OF043010B","25",".607",".836"
"15OF043010B","","",""
"15OF043010B","","",""
"15OF043010B","","",""
"15OF045034B","5","1.133","1.491"
"15OF045034B","15",".974","1.294"
"15OF045034B","25",".837","1.123"
"15OF045034B","","",""
"15OF045034B","","",""
"15OF045034B","","",""
"15OF046820B","5",".845","1.125"
"15OF046820B","15",".73",".981"
"15OF046820B","25",".654",".889"
"15OF046820B","","",""
"15OF046820B","","",""
"15OF046820B","","",""
"15OF056089A","15","4.07","4.944"
"15OF056089A","25","3.15","3.856"
"15OF056089A","38","2.33","2.88"
"15OF938849A","25","2.531","3.103"
"15OF938849A","38","1.957","2.425"
"15OF938849A","50","1.543","1.931"
"15OF938849A","","",""
"15OF938849A","","",""
"15OF938849A","","",""
"15OF940966A","15","3.525","4.279"
"15OF940966A","25","2.746","3.361"
"15OF940966A","38","2.114","2.615"
"15OF940966A","","",""
"15OF940966A","","",""
"15OF940966A","","",""
"15OF955367B","15","2.465","3.02"
"15OF955367B","25","2.011","2.484"
"15OF955367B","38","1.543","1.927"
"15OF955367B","","",""
"15OF955367B","","",""
"15OF955367B","","",""
"15OF955734A","15","3.556","4.327"
"15OF955734A","25","2.806","3.443"
"15OF955734A","38","2.23","2.765"
"15OF955734A","","",""
"15OF955734A","","",""
"15OF955734A","","",""
"15OF955734B","15","4.359","5.231"
"15OF955734B","25","3.401","4.114"
"15OF955734B","38","2.554","3.121"
"15OF955734B","","",""
"15OF955734B","","",""
"15OF955734B","","",""
"15OF962318A","25","1.15","1.494"
"15OF962318A","38",".932","1.227"
"15OF962318A","50",".764","1.017"
"15OF962318A","","",""
"15OF962318A","","",""
"15OF962318A","","",""
"15OF968972A","25","3.419","4.187"
"15OF968972A","38","2.347","2.905"
"15OF968972A","50","1.87","2.338"
"15OF968972A","","",""
"15OF968972A","","",""
"15OF968972A","","",""
"15OF977227A","15","2.024","2.569"
"15OF977227A","25","1.682","2.154"
"15OF977227A","35","1.422","1.838"
"15OF977227A","","",""
"15OF977227A","","",""
"15OF977227A","","",""
"15OF981051A","15","1.624","2.023"
"15OF981051A","25","1.364","1.714"
"15OF981051A","38","1.114","1.415"
"15OF981051A","","",""
"15OF981051A","","",""
"15OF981051A","","",""
"15OF981720A","5",".6",".822"
"15OF981720A","15",".533",".737"
"15OF981720A","25",".493",".689"
"15OF981720A","","",""
"15OF981720A","","",""
"15OF981720A","","",""
"15OF982147B","5",".876","1.173"
"15OF982147B","15",".752","1.017"
"15OF982147B","25",".661",".903"
"15OF982147B","","",""
"15OF982147B","","",""
"15OF982147B","","",""
"15OF982398A","15","2.503","3.15"
"15OF982398A","25","2.01","2.551"
"15OF982398A","38","1.577","2.025"
"15OF982398A","","",""
"15OF982398A","","",""
"15OF982398A","","",""
"15OF983004D","5",".865","1.151"
"15OF983004D","15",".768","1.031"
"15OF983004D","25",".692",".939"
"15OF983004D","","",""
"15OF983004D","","",""
"15OF983004D","","",""
"15OF984038B","5",".763","1.028"
"15OF984038B","15",".662",".9"
"15OF984038B","25",".566",".778"
"15OF984038B","","",""
"15OF984038B","","",""
"15OF984038B","","",""
"15OF985260B","5",".778","1.045"
"15OF985260B","15",".686",".932"
"15OF985260B","25",".607",".834"
"15OF985260B","","",""
"15OF985260B","","",""
"15OF985260B","","",""
"15OF985260D","5",".887","1.185"
"15OF985260D","15",".772","1.042"
"15OF985260D","25",".689",".94"
"15OF985260D","","",""
"15OF985260D","","",""
"15OF985260D","","",""
"15OF987238A","","",""
"15OF987238A","","",""
"15OF987238A","","",""
"15OF987238A","","",""
"15OF987238A","","",""
"15OF987238A","","",""
"15OF987814C","5",".82","1.096"
"15OF987814C","15",".716",".966"
"15OF987814C","25",".63",".859"
"15OF987814C","","",""
"15OF987814C","","",""
"15OF987814C","","",""
"15OF987814D","5",".906","1.214"
"15OF987814D","15",".784","1.061"
"15OF987814D","25",".687",".94"
"15OF987814D","","",""
"15OF987814D","","",""
"15OF987814D","","",""
"15OF989908B","5",".687",".937"
"15OF989908B","15",".607",".838"
"15OF989908B","25",".527",".735"
"15OF989908B","","",""
"15OF989908B","","",""
"15OF989908B","","",""
"15OF990932B","5",".649",".89"
"15OF990932B","15",".575",".796"
"15OF990932B","25",".512",".718"
"15OF990932B","","",""
"15OF990932B","","",""
"15OF990932B","","",""
"15OF992105B","5","1.153","1.516"
"15OF992105B","15",".985","1.307"
"15OF992105B","25",".836","1.121"
"15OF992105B","","",""
"15OF992105B","","",""
"15OF992105B","","",""
"15OF992106B","5","1.267","1.658"
"15OF992106B","15","1.072","1.416"
"15OF992106B","25",".894","1.193"
"15OF992106B","","",""
"15OF992106B","","",""
"15OF992106B","","",""
"15OF992107B","5","1.135","1.492"
"15OF992107B","15",".969","1.287"
"15OF992107B","25",".839","1.125"
"15OF992107B","","",""
"15OF992107B","","",""
"15OF992107B","","",""
"15OF992537B","15","1.159","1.522"
"15OF992537B","25",".983","1.304"
"15OF992537B","38",".794","1.066"
"15OF992537B","","",""
"15OF992537B","","",""
"15OF992537B","","",""
"15OF996274C","15","1.053","1.395"
"15OF996274C","25",".905","1.211"
"15OF996274C","38",".745","1.009"
"15OF996274C","","",""
"15OF996274C","","",""
"15OF996274C","","",""
"15OF996274D","5",".997","1.323"
"15OF996274D","15",".868","1.163"
"15OF996274D","25",".756","1.023"
"15OF996274D","","",""
"15OF996274D","","",""
"15OF996274D","","",""
"15OF998301B","5","1.046","1.377"
"15OF998301B","15",".894","1.189"
"15OF998301B","25",".771","1.035"
"15OF998301B","","",""
"15OF998301B","","",""
"15OF998301B","","",""
"15OF998301D","5","1.099","1.447"
"15OF998301D","15",".933","1.24"
"15OF998301D","25",".814","1.092"
"15OF998301D","","",""
"15OF998301D","","",""
"15OF998301D","","",""
"15OF998301F","5","1.159","1.525"
"15OF998301F","15",".953","1.266"
"15OF998301F","25",".815","1.094"
"15OF998301F","","",""
"15OF998301F","","",""
"15OF998301F","","",""
"15OF998301H","5",".873","1.165"
"15OF998301H","15",".755","1.017"
"15OF998301H","25",".663",".903"
"15OF998301H","","",""
"15OF998301H","","",""
"15OF998301H","","",""
"15OG039809A","5",".411",".574"
"15OG039809A","15",".384",".543"
"15OG039809A","25",".36",".514"
"15OG039809A","","",""
"15OG039809A","","",""
"15OG039809A","","",""
"15OG039809B","5",".436",".607"
"15OG039809B","15",".405",".57"
"15OG039809B","25",".375",".534"
"15OG039809B","","",""
"15OG039809B","","",""
"15OG039809B","","",""
"15OG039809C","5",".445",".619"
"15OG039809C","15",".412",".58"
"15OG039809C","25",".386",".549"
"15OG039809C","","",""
"15OG039809C","","",""
"15OG039809C","","",""
"15OG040289B","5",".641",".864"
"15OG040289B","15",".575",".784"
"15OG040289B","25",".516",".711"
"15OG040289B","","",""
"15OG040289B","","",""
"15OG040289B","","",""
"15OG946480A","15",".73",".977"
"15OG946480A","25",".66",".892"
"15OG946480A","38",".578",".792"
"15OG946480A","","",""
"15OG946480A","","",""
"15OG946480A","","",""
"15OG946679A","5",".655",".902"
"15OG946679A","15",".579",".806"
"15OG946679A","25",".516",".726"
"15OG946679A","","",""
"15OG946679A","","",""
"15OG946679A","","",""
"15OG948291A","25","3.056","3.781"
"15OG948291A","38","2.235","2.796"
"15OG948291A","50","1.766","2.231"
"15OG948291A","","",""
"15OG948291A","","",""
"15OG948291A","","",""
"15OG949638A","15",".638",".88"
"15OG949638A","25",".566",".788"
"15OG949638A","35",".501",".706"
"15OG949638A","","",""
"15OG949638A","","",""
"15OG949638A","","",""
"15OG951688A","5",".696",".947"
"15OG951688A","15",".616",".846"
"15OG951688A","25",".55",".764"
"15OG951688A","","",""
"15OG951688A","","",""
"15OG951688A","","",""
"15R047640","15","11.847","13.814"
"15R047640","25","8.295","9.744"
"15R047640","38","5.614","6.659"
"15R047640","","",""
"15R047640","","",""
"15R047640","","",""
"15R052758","15","8.865","10.398"
"15R052758","25","6.306","7.453"
"15R052758","38","4.455","5.317"
"15R052758","","",""
"15R052758","","",""
"15R052758","","",""
"1614-52134-2020-3","20","2.292","2.898"
"1614-52134-2020-3","30","1.847","2.357"
"1614-52134-2020-3","40","1.521","1.96"
"1614-52134-2020-3","","",""
"1614-52134-2020-3","","",""
"1614-52134-2020-3","","",""
"1615-52134-2020-3","20","2.558","3.212"
"1615-52134-2020-3","30","2.06","2.612"
"1615-52134-2020-3","40","1.698","2.173"
"1615-52134-2020-3","","",""
"1615-52134-2020-3","","",""
"1615-52134-2020-3","","",""
"1624-52134-2020-3","20","2.128","2.693"
"1624-52134-2020-3","30","1.679","2.144"
"1624-52134-2020-3","40","1.37","1.768"
"1624-52134-2020-3","","",""
"1624-52134-2020-3","","",""
"1624-52134-2020-3","","",""
"1625-52134-2020-3","15","3.66","4.602"
"1625-52134-2020-3","20","3.049","3.852"
"1625-52134-2020-3","30","2.231","2.846"
"1625-52134-2020-3","","",""
"1625-52134-2020-3","","",""
"1625-52134-2020-3","","",""
"1644-52134-17-3","20",".792","1.098"
"1644-52134-17-3","30",".671",".941"
"1644-52134-17-3","40",".591",".839"
"1644-52134-17-3","","",""
"1644-52134-17-3","","",""
"1644-52134-17-3","","",""
"1645-52134-17-3","20",".634",".862"
"1645-52134-17-3","30",".561",".771"
"1645-52134-17-3","40",".504",".701"
"1645-52134-17-3","","",""
"1645-52134-17-3","","",""
"1645-52134-17-3","","",""
"1670-52134-2020-12","20","1.294","1.705"
"1670-52134-2020-12","30","1.028","1.369"
"1670-52134-2020-12","40",".865","1.164"
"1670-52134-2020-12","","",""
"1670-52134-2020-12","","",""
"1670-52134-2020-12","","",""
"1670-52134-2020-15","20","1.532","1.989"
"1670-52134-2020-15","30","1.247","1.635"
"1670-52134-2020-15","40","1.059","1.403"
"1670-52134-2020-15","","",""
"1670-52134-2020-15","","",""
"1670-52134-2020-15","","",""
"1670-52134-2020-18","20","1.1","1.467"
"1670-52134-2020-18","30",".884","1.192"
"1670-52134-2020-18","40",".744","1.014"
"1670-52134-2020-18","","",""
"1670-52134-2020-18","","",""
"1670-52134-2020-18","","",""
"1670-52134-2020-2","20","1.074","1.436"
"1670-52134-2020-2","30",".868","1.173"
"1670-52134-2020-2","40",".718",".98"
"1670-52134-2020-2","","",""
"1670-52134-2020-2","","",""
"1670-52134-2020-2","","",""
"1670-52134-2020-21","20","1.193","1.579"
"1670-52134-2020-21","30",".943","1.263"
"1670-52134-2020-21","40",".796","1.077"
"1670-52134-2020-21","","",""
"1670-52134-2020-21","","",""
"1670-52134-2020-21","","",""
"1670-52134-2020-24","20","2.134","2.711"
"1670-52134-2020-24","30","1.701","2.183"
"1670-52134-2020-24","40","1.449","1.878"
"1670-52134-2020-24","","",""
"1670-52134-2020-24","","",""
"1670-52134-2020-24","","",""
"1670-52134-2020-28","20","1.097","1.446"
"1670-52134-2020-28","30",".941","1.254"
"1670-52134-2020-28","40",".804","1.083"
"1670-52134-2020-28","","",""
"1670-52134-2020-28","","",""
"1670-52134-2020-28","","",""
"1670-52134-2020-5","20","1.071","1.427"
"1670-52134-2020-5","30",".896","1.208"
"1670-52134-2020-5","40",".742","1.012"
"1670-52134-2020-5","","",""
"1670-52134-2020-5","","",""
"1670-52134-2020-5","","",""
"1670-52134-2020-8","20","2.078","2.667"
"1670-52134-2020-8","30","1.602","2.077"
"1670-52134-2020-8","40","1.292","1.692"
"1670-52134-2020-8","","",""
"1670-52134-2020-8","","",""
"1670-52134-2020-8","","",""
"1682-52134-2020-3","20","2.232","2.823"
"1682-52134-2020-3","30","1.794","2.292"
"1682-52134-2020-3","40","1.491","1.924"
"1682-52134-2020-3","","",""
"1682-52134-2020-3","","",""
"1682-52134-2020-3","","",""
"1683-52134-2020-3","20","2.499","3.146"
"1683-52134-2020-3","30","2.007","2.551"
"1683-52134-2020-3","40","1.665","2.138"
"1683-52134-2020-3","","",""
"1683-52134-2020-3","","",""
"1683-52134-2020-3","","",""
"1684-52134-2020-2","20","3.078","3.862"
"1684-52134-2020-2","30","2.391","3.029"
"1684-52134-2020-2","40","1.964","2.512"
"1684-52134-2020-2","","",""
"1684-52134-2020-2","","",""
"1684-52134-2020-2","","",""
"1685-52134-2020-2","20","3.578","4.441"
"1685-52134-2020-2","30","2.801","3.51"
"1685-52134-2020-2","40","2.274","2.876"
"1685-52134-2020-2","","",""
"1685-52134-2020-2","","",""
"1685-52134-2020-2","","",""
"1686-52134-2020-2","20","3.114","3.907"
"1686-52134-2020-2","30","2.328","2.95"
"1686-52134-2020-2","40","1.914","2.449"
"1686-52134-2020-2","","",""
"1686-52134-2020-2","","",""
"1686-52134-2020-2","","",""
"16C108114","","",""
"16C108114","","",""
"16C108114","","",""
"16C108114","","",""
"16C108114","","",""
"16C108114","","",""
"16F068450","5","1.572","2.036"
"16F068450","15","1.291","1.688"
"16F068450","25","1.085","1.431"
"16F068450","","",""
"16F068450","","",""
"16F068450","","",""
"16F075861","","",""
"16F075861","","",""
"16F075861","","",""
"16F075861","","",""
"16F075861","","",""
"16F075861","","",""
"16F125089","5","1.937","2.47"
"16F125089","15","1.602","2.062"
"16F125089","25","1.329","1.726"
"16F125089","","",""
"16F125089","","",""
"16F125089","","",""
"16F163279","25","1.343","1.712"
"16F163279","38","1.075","1.387"
"16F163279","50",".882","1.15"
"16F163279","","",""
"16F163279","","",""
"16F163279","","",""
"16F167876","25","5.406","6.475"
"16F167876","38","3.865","4.677"
"16F167876","50","2.959","3.614"
"16F167876","","",""
"16F167876","","",""
"16F167876","","",""
"16F172295","25","8.738","10.417"
"16F172295","38","5.834","7.025"
"16F172295","50","4.18","5.081"
"16F172295","","",""
"16F172295","","",""
"16F172295","","",""
"16O162969A","5","2.462","3.1"
"16O162969A","15","1.962","2.492"
"16O162969A","25","1.57","2.011"
"16O162969A","","",""
"16O162969A","","",""
"16O162969A","","",""
"16OF075861B","","",""
"16OF075861B","","",""
"16OF075861B","","",""
"16OF075861B","","",""
"16OF075861B","","",""
"16OF075861B","","",""
"16OF075861C","","",""
"16OF075861C","","",""
"16OF075861C","","",""
"16OF075861C","","",""
"16OF075861C","","",""
"16OF075861C","","",""
"16OF085872A","15","3.046","3.716"
"16OF085872A","25","2.439","3"
"16OF085872A","38","1.832","2.277"
"16OF085872A","","",""
"16OF085872A","","",""
"16OF085872A","","",""
"16OF086646C","5",".593",".828"
"16OF086646C","15",".527",".744"
"16OF086646C","25",".469",".668"
"16OF086646C","","",""
"16OF086646C","","",""
"16OF086646C","","",""
"16OF086646D","5",".523",".723"
"16OF086646D","15",".478",".667"
"16OF086646D","25",".436",".616"
"16OF086646D","","",""
"16OF086646D","","",""
"16OF086646D","","",""
"16OF090114C","5",".604",".844"
"16OF090114C","15",".536",".757"
"16OF090114C","25",".479",".685"
"16OF090114C","","",""
"16OF090114C","","",""
"16OF090114C","","",""
"16OF090114D","5",".582",".814"
"16OF090114D","15",".518",".733"
"16OF090114D","25",".461",".659"
"16OF090114D","","",""
"16OF090114D","","",""
"16OF090114D","","",""
"16OF092590B","15",".697",".943"
"16OF092590B","25",".64",".875"
"16OF092590B","38",".573",".794"
"16OF092590B","","",""
"16OF092590B","","",""
"16OF092590B","","",""
"16OF095248B","5",".592",".81"
"16OF095248B","15",".525",".725"
"16OF095248B","25",".467",".652"
"16OF095248B","","",""
"16OF095248B","","",""
"16OF095248B","","",""
"16OF097246B","15",".699",".941"
"16OF097246B","25",".63",".856"
"16OF097246B","35",".567",".779"
"16OF097246B","","",""
"16OF097246B","","",""
"16OF097246B","","",""
"16OF099335C","5",".823","1.105"
"16OF099335C","15",".723",".981"
"16OF099335C","25",".633",".867"
"16OF099335C","","",""
"16OF099335C","","",""
"16OF099335C","","",""
"16OF106777C","5","1.209","1.58"
"16OF106777C","15","1.028","1.356"
"16OF106777C","25",".885","1.179"
"16OF106777C","","",""
"16OF106777C","","",""
"16OF106777C","","",""
"16OF106777D","15","1.963","2.504"
"16OF106777D","25","1.609","2.071"
"16OF106777D","35","1.302","1.691"
"16OF106777D","","",""
"16OF106777D","","",""
"16OF106777D","","",""
"16OF125089B","15","2.378","3.036"
"16OF125089B","25","1.809","2.33"
"16OF125089B","35","1.47","1.91"
"16OF125089B","","",""
"16OF125089B","","",""
"16OF125089B","","",""
"16OF128339A","15","2.545","3.215"
"16OF128339A","25","1.919","2.446"
"16OF128339A","35","1.503","1.933"
"16OF128339A","","",""
"16OF128339A","","",""
"16OF128339A","","",""
"16OF128339C","15","2.563","3.223"
"16OF128339C","25","1.958","2.485"
"16OF128339C","38","1.535","1.97"
"16OF128339C","","",""
"16OF128339C","","",""
"16OF128339C","","",""
"16OF130472A","15","3.25","4.055"
"16OF130472A","25","2.409","3.031"
"16OF130472A","38","1.858","2.364"
"16OF130472A","","",""
"16OF130472A","","",""
"16OF130472A","","",""
"16OF130472B","15","3.183","3.961"
"16OF130472B","25","2.494","3.13"
"16OF130472B","38","1.86","2.361"
"16OF130472B","","",""
"16OF130472B","","",""
"16OF130472B","","",""
"16OF131765D","15",".736",".989"
"16OF131765D","25",".641",".87"
"16OF131765D","38",".551",".757"
"16OF131765D","","",""
"16OF131765D","","",""
"16OF131765D","","",""
"16OF161061E","15","2.298","2.885"
"16OF161061E","25","1.893","2.396"
"16OF161061E","38","1.505","1.928"
"16OF161061E","","",""
"16OF161061E","","",""
"16OF161061E","","",""
"16OF163243A","15","2.4","3.019"
"16OF163243A","25","1.96","2.486"
"16OF163243A","35","1.623","2.078"
"16OF163243A","","",""
"16OF163243A","","",""
"16OF163243A","","",""
"16OG061672A","5",".563",".783"
"16OG061672A","15",".494",".694"
"16OG061672A","25",".433",".616"
"16OG061672A","","",""
"16OG061672A","","",""
"16OG061672A","","",""
"16OG061672B","25",".558",".763"
"16OG061672B","38",".479",".664"
"16OG061672B","50",".416",".584"
"16OG061672B","","",""
"16OG061672B","","",""
"16OG061672B","","",""
"16OG061672C","5",".61",".84"
"16OG061672C","15",".542",".754"
"16OG061672C","25",".484",".682"
"16OG061672C","","",""
"16OG061672C","","",""
"16OG061672C","","",""
"16OG061672D","5",".598",".825"
"16OG061672D","15",".53",".74"
"16OG061672D","25",".475",".67"
"16OG061672D","","",""
"16OG061672D","","",""
"16OG061672D","","",""
"16OG067996A","5",".673",".908"
"16OG067996A","15",".601",".82"
"16OG067996A","25",".552",".761"
"16OG067996A","","",""
"16OG067996A","","",""
"16OG067996A","","",""
"16OG134401A","5",".595",".819"
"16OG134401A","15",".529",".737"
"16OG134401A","25",".47",".661"
"16OG134401A","","",""
"16OG134401A","","",""
"16OG134401A","","",""
"16OG134401B","5",".597",".819"
"16OG134401B","15",".544",".754"
"16OG134401B","25",".487",".683"
"16OG134401B","","",""
"16OG134401B","","",""
"16OG134401B","","",""
"16OG134401C","5",".625",".857"
"16OG134401C","15",".553",".767"
"16OG134401C","25",".486",".681"
"16OG134401C","","",""
"16OG134401C","","",""
"16OG134401C","","",""
"16OG134401D","5",".625",".859"
"16OG134401D","15",".554",".769"
"16OG134401D","25",".492",".69"
"16OG134401D","","",""
"16OG134401D","","",""
"16OG134401D","","",""
"16OG134401E","5",".642",".878"
"16OG134401E","15",".567",".783"
"16OG134401E","25",".499",".697"
"16OG134401E","","",""
"16OG134401E","","",""
"16OG134401E","","",""
"16OG154755A","5",".552",".767"
"16OG154755A","15",".493",".692"
"16OG154755A","25",".454",".645"
"16OG154755A","","",""
"16OG154755A","","",""
"16OG154755A","","",""
"16OG154755B","5",".535",".746"
"16OG154755B","10",".505",".708"
"16OG154755B","15",".479",".674"
"16OG154755B","","",""
"16OG154755B","","",""
"16OG154755B","","",""
"16OG154755C","5",".621",".841"
"16OG154755C","15",".558",".764"
"16OG154755C","25",".504",".696"
"16OG154755C","","",""
"16OG154755C","","",""
"16OG154755C","","",""
"16OG168646B","25","2.661","3.328"
"16OG168646B","38","1.995","2.522"
"16OG168646B","50","1.593","2.035"
"16OG168646B","","",""
"16OG168646B","","",""
"16OG168646B","","",""
"16R058823","15","9.246","10.83"
"16R058823","25","6.725","7.937"
"16R058823","38","4.538","5.409"
"16R058823","","",""
"16R058823","","",""
"16R058823","","",""
"16R072312","15","10.103","11.797"
"16R072312","25","7.123","8.38"
"16R072312","38","4.848","5.759"
"16R072312","","",""
"16R072312","","",""
"16R072312","","",""
"1723-52134-2020-3","20","2.341","2.949"
"1723-52134-2020-3","30","1.867","2.375"
"1723-52134-2020-3","40","1.532","1.968"
"1723-52134-2020-3","","",""
"1723-52134-2020-3","","",""
"1723-52134-2020-3","","",""
"1724-52134-2020-2","20","2.441","3.077"
"1724-52134-2020-2","30","1.915","2.438"
"1724-52134-2020-2","40","1.559","2.013"
"1724-52134-2020-2","","",""
"1724-52134-2020-2","","",""
"1724-52134-2020-2","","",""
"1725-52134-2020-2","20","2.743","3.453"
"1725-52134-2020-2","30","2.163","2.749"
"1725-52134-2020-2","40","1.779","2.292"
"1725-52134-2020-2","","",""
"1725-52134-2020-2","","",""
"1725-52134-2020-2","","",""
"1726-52134-2020-3","20","2.143","2.708"
"1726-52134-2020-3","30","1.698","2.166"
"1726-52134-2020-3","40","1.39","1.792"
"1726-52134-2020-3","","",""
"1726-52134-2020-3","","",""
"1726-52134-2020-3","","",""
"1727-52134-2020-2","20","2.978","3.715"
"1727-52134-2020-2","30","2.344","2.953"
"1727-52134-2020-2","40","1.912","2.431"
"1727-52134-2020-2","","",""
"1727-52134-2020-2","","",""
"1727-52134-2020-2","","",""
"1736-52134-2020-2","20","2.986","3.734"
"1736-52134-2020-2","30","2.346","2.962"
"1736-52134-2020-2","40","1.927","2.456"
"1736-52134-2020-2","","",""
"1736-52134-2020-2","","",""
"1736-52134-2020-2","","",""
"1737-52134-2020-2","20","2.267","2.865"
"1737-52134-2020-2","30","1.812","2.313"
"1737-52134-2020-2","40","1.517","1.956"
"1737-52134-2020-2","","",""
"1737-52134-2020-2","","",""
"1737-52134-2020-2","","",""
"1738-52134-2020-2","20","2.245","2.839"
"1738-52134-2020-2","30","1.779","2.272"
"1738-52134-2020-2","40","1.458","1.881"
"1738-52134-2020-2","","",""
"1738-52134-2020-2","","",""
"1738-52134-2020-2","","",""
"1739-52134-2020-2","20","2.404","3.033"
"1739-52134-2020-2","30","1.916","2.442"
"1739-52134-2020-2","40","1.534","1.981"
"1739-52134-2020-2","","",""
"1739-52134-2020-2","","",""
"1739-52134-2020-2","","",""
"1790-52134-2020-2","15","1.189","1.568"
"1790-52134-2020-2","20","1.077","1.427"
"1790-52134-2020-2","30",".913","1.223"
"1790-52134-2020-2","","",""
"1790-52134-2020-2","","",""
"1790-52134-2020-2","","",""
"1791-52134-2020-2","20","3.137","3.924"
"1791-52134-2020-2","30","2.477","3.126"
"1791-52134-2020-2","40","1.992","2.538"
"1791-52134-2020-2","","",""
"1791-52134-2020-2","","",""
"1791-52134-2020-2","","",""
"17F184998","15","9.161","10.729"
"17F184998","25","6.624","7.817"
"17F184998","38","4.648","5.539"
"17F184998","","",""
"17F184998","","",""
"17F184998","","",""
"17F187637","5","4.645","5.701"
"17F187637","15","3.067","3.795"
"17F187637","25","2.273","2.837"
"17F187637","","",""
"17F187637","","",""
"17F187637","","",""
"17F187833","15","10.441","12.165"
"17F187833","25","7.494","8.797"
"17F187833","38","5.142","6.094"
"17F187833","","",""
"17F187833","","",""
"17F187833","","",""
"17F190672","15","3.931","4.793"
"17F190672","25","3.045","3.744"
"17F190672","38","2.28","2.833"
"17F190672","","",""
"17F190672","","",""
"17F190672","","",""
"17F190672A","15","3.372","4.123"
"17F190672A","25","2.67","3.291"
"17F190672A","38","2.043","2.546"
"17F190672A","","",""
"17F190672A","","",""
"17F190672A","","",""
"17F194368","5",".716",".966"
"17F194368","10",".672",".912"
"17F194368","15",".636",".868"
"17F194368","","",""
"17F194368","","",""
"17F194368","","",""
"17F198858","15","3.701","4.544"
"17F198858","25","2.899","3.589"
"17F198858","38","2.164","2.708"
"17F198858","","",""
"17F198858","","",""
"17F198858","","",""
"17F199945","25","2.872","3.554"
"17F199945","38","2.162","2.706"
"17F199945","50","1.731","2.188"
"17F199945","","",""
"17F199945","","",""
"17F199945","","",""
"17F250838","15","4.056","4.959"
"17F250838","25","3.17","3.908"
"17F250838","38","2.329","2.903"
"17F250838","","",""
"17F250838","","",""
"17F250838","","",""
"17F281003","15","2.005","2.529"
"17F281003","25","1.662","2.115"
"17F281003","35","1.4","1.797"
"17F281003","","",""
"17F281003","","",""
"17F281003","","",""
"17F285173","15","2.005","2.6"
"17F285173","25","1.304","1.707"
"17F285173","38","1.079","1.43"
"17F285173","","",""
"17F285173","","",""
"17F285173","","",""
"17O200703C","15","3.511","4.26"
"17O200703C","25","2.786","3.408"
"17O200703C","38","2.077","2.567"
"17O200703C","","",""
"17O200703C","","",""
"17O200703C","","",""
"17O243703A","5",".715",".972"
"17O243703A","15",".629",".864"
"17O243703A","25",".557",".773"
"17O243703A","","",""
"17O243703A","","",""
"17O243703A","","",""
"17O248177A","5",".559",".777"
"17O248177A","15",".494",".693"
"17O248177A","25",".423",".601"
"17O248177A","","",""
"17O248177A","","",""
"17O248177A","","",""
"17O248177B","5",".505",".692"
"17O248177B","15",".463",".641"
"17O248177B","25",".434",".607"
"17O248177B","","",""
"17O248177B","","",""
"17O248177B","","",""
"17O248177C","5",".675",".921"
