"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"0189-52134-2021-14","","",""
"0189-52134-2021-3","10","4.93","6.189"
"0189-52134-2021-3","15","3.57","4.504"
"0189-52134-2021-3","20","2.84","3.601"
"0189-52134-2021-3","","",""
"0189-52134-2021-3","","",""
"0189-52134-2021-3","","",""
"0189-52134-2021-5","15","3.967","4.998"
"0189-52134-2021-5","20","3.154","3.994"
"0189-52134-2021-5","25","2.596","3.302"
"0189-52134-2021-5","","",""
"0189-52134-2021-5","","",""
"0189-52134-2021-5","","",""
"0189-52134-2021-7","10","2.208","2.805"
"0189-52134-2021-7","15","1.958","2.499"
"0189-52134-2021-7","20","1.717","2.203"
"0189-52134-2021-7","","",""
"0189-52134-2021-7","","",""
"0189-52134-2021-7","","",""
"0189-52134-2021-9","10","3.315","4.192"
"0189-52134-2021-9","15","2.667","3.389"
"0189-52134-2021-9","20","2.178","2.782"
"0189-52134-2021-9","","",""
"0189-52134-2021-9","","",""
"0189-52134-2021-9","","",""
"0299-52134-2021-2","20","1.516","1.959"
"0299-52134-2021-2","30","1.244","1.625"
"0299-52134-2021-2","40","1.062","1.401"
"0299-52134-2021-2","","",""
"0299-52134-2021-2","","",""
"0299-52134-2021-2","","",""
"0361-52134-2021-2","20","1.321","1.72"
"0361-52134-2021-2","30","1.082","1.423"
"0361-52134-2021-2","40",".933","1.241"
"0361-52134-2021-2","","",""
"0361-52134-2021-2","","",""
"0361-52134-2021-2","","",""
"0399-52134-2021-2","20","1.697","2.183"
"0399-52134-2021-2","30","1.383","1.797"
"0399-52134-2021-2","40","1.166","1.531"
"0399-52134-2021-2","","",""
"0399-52134-2021-2","","",""
"0399-52134-2021-2","","",""
"0400-52134-2021-2","20","1.157","1.52"
"0400-52134-2021-2","30",".954","1.267"
"0400-52134-2021-2","40",".823","1.105"
"0400-52134-2021-2","","",""
"0400-52134-2021-2","","",""
"0400-52134-2021-2","","",""
"0438-52134-2020-5","20","1.416","1.833"
"0438-52134-2020-5","30","1.196","1.565"
"0438-52134-2020-5","40","1.025","1.355"
"0438-52134-2020-5","","",""
"0438-52134-2020-5","","",""
"0438-52134-2020-5","","",""
"0439-52134-2020-11","20",".887","1.191"
"0439-52134-2020-11","25",".804","1.085"
"0439-52134-2020-11","30",".74","1.005"
"0439-52134-2020-11","","",""
"0439-52134-2020-11","","",""
"0439-52134-2020-11","","",""
"0441-52134-2016-3","20","2.807","3.54"
"0441-52134-2016-3","30","2.193","2.793"
"0441-52134-2016-3","40","1.817","2.337"
"0441-52134-2016-3","","",""
"0441-52134-2016-3","","",""
"0441-52134-2016-3","","",""
"0441-52134-2016-7","20","2.639","3.332"
"0441-52134-2016-7","30","2.084","2.658"
"0441-52134-2016-7","40","1.718","2.213"
"0441-52134-2016-7","","",""
"0441-52134-2016-7","","",""
"0441-52134-2016-7","","",""
"0443-52134-2016-3","20","2.076","2.635"
"0443-52134-2016-3","30","1.707","2.187"
"0443-52134-2016-3","40","1.426","1.846"
"0443-52134-2016-3","","",""
"0443-52134-2016-3","","",""
"0443-52134-2016-3","","",""
"0443-52134-2016-7","20","1.866","2.382"
"0443-52134-2016-7","30","1.532","1.976"
"0443-52134-2016-7","40","1.271","1.656"
"0443-52134-2016-7","","",""
"0443-52134-2016-7","","",""
"0443-52134-2016-7","","",""
"0473-52137-2020-3","15","1.856","2.37"
"0473-52137-2020-3","20","1.673","2.145"
"0473-52137-2020-3","30","1.391","1.802"
"0473-52137-2020-3","","",""
"0473-52137-2020-3","","",""
"0473-52137-2020-3","","",""
"0475-52137-2020-3","15","1.851","2.368"
"0475-52137-2020-3","20","1.659","2.133"
"0475-52137-2020-3","30","1.374","1.784"
"0475-52137-2020-3","","",""
"0475-52137-2020-3","","",""
"0475-52137-2020-3","","",""
"0477-52137-2020-2","15","1.194","1.571"
"0477-52137-2020-2","20","1.095","1.448"
"0477-52137-2020-2","30",".938","1.253"
"0477-52137-2020-2","","",""
"0477-52137-2020-2","","",""
"0477-52137-2020-2","","",""
"0478-52137-2020-2","15","1.22","1.601"
"0478-52137-2020-2","20","1.12","1.477"
"0478-52137-2020-2","30",".959","1.277"
"0478-52137-2020-2","","",""
"0478-52137-2020-2","","",""
"0478-52137-2020-2","","",""
"0479-52137-2020-3","15","1.179","1.549"
"0479-52137-2020-3","20","1.082","1.429"
"0479-52137-2020-3","30",".907","1.21"
"0479-52137-2020-3","","",""
"0479-52137-2020-3","","",""
"0479-52137-2020-3","","",""
"0490-52134-2021-3","20","1.242","1.628"
"0490-52134-2021-3","30","1.022","1.354"
"0490-52134-2021-3","40",".843","1.128"
"0490-52134-2021-3","","",""
"0490-52134-2021-3","","",""
"0490-52134-2021-3","","",""
"0491-52134-2021-3","20","1.41","1.828"
"0491-52134-2021-3","30","1.186","1.554"
"0491-52134-2021-3","40","1.014","1.342"
"0491-52134-2021-3","","",""
"0491-52134-2021-3","","",""
"0491-52134-2021-3","","",""
"0492-52134-2021-3","20","1.616","2.081"
"0492-52134-2021-3","30","1.332","1.733"
"0492-52134-2021-3","40","1.13","1.485"
"0492-52134-2021-3","","",""
"0492-52134-2021-3","","",""
"0492-52134-2021-3","","",""
"04OF104390A","25","2.16","2.7"
"04OF104390A","38","1.66","2.1"
"04OF104390A","50","1.25","1.6"
"04OF104390B","25","1.14","1.45"
"04OF104390B","38",".93","1.2"
"04OF104390B","50",".79","1.03"
"04OF104390C","25","2.25","2.8"
"04OF104390C","38","1.51","1.9"
"04OF104390C","50","1.02","1.3"
"04OF75860A","25","1.8","2.25"
"04OF75860A","38","1.43","1.8"
"04OF75860A","50","1.2","1.53"
"04OF98307A","25","1.99","2.5"
"04OF98307A","38","1.34","1.7"
"04OF98307A","50","1.01","1.3"
"0518-52134-2020-3","20","1.265","1.659"
"0518-52134-2020-3","30","1.076","1.427"
"0518-52134-2020-3","35",".999","1.331"
"0518-52134-2020-3","","",""
"0518-52134-2020-3","","",""
"0518-52134-2020-3","","",""
"0581-52134-2016-3","20","1.614","2.074"
"0581-52134-2016-3","30","1.297","1.684"
"0581-52134-2016-3","40","1.058","1.389"
"0581-52134-2016-3","","",""
"0581-52134-2016-3","","",""
"0581-52134-2016-3","","",""
"0594-52134-2021-14","20","1.536","1.988"
"0594-52134-2021-14","30","1.267","1.66"
"0594-52134-2021-14","40","1.054","1.394"
"0594-52134-2021-14","","",""
"0594-52134-2021-14","","",""
"0594-52134-2021-14","","",""
"0594-52134-2021-19","20","2.185","2.807"
"0594-52134-2021-19","30","1.66","2.154"
"0594-52134-2021-19","35","1.522","1.986"
"0594-52134-2021-19","","",""
"0594-52134-2021-19","","",""
"0594-52134-2021-19","","",""
"0594-52134-2021-3","20","1.568","2.031"
"0594-52134-2021-3","30","1.293","1.691"
"0594-52134-2021-3","40","1.102","1.456"
"0594-52134-2021-3","","",""
"0594-52134-2021-3","","",""
"0594-52134-2021-3","","",""
"0594-52134-2021-6","10",".864","1.161"
"0594-52134-2021-6","20",".746","1.014"
"0594-52134-2021-6","30",".632",".868"
"0594-52134-2021-6","","",""
"0594-52134-2021-6","","",""
"0594-52134-2021-6","","",""
"05OF122989A","25","2","2.6"
"05OF122989A","35","1.21","1.58"
"05OF122989A","45",".73",".96"
"05OG109451A","25","3.76","4.77"
"05OG109451A","38","2.47","3.17"
"05OG109451A","50","1.67","2.17"
"05OG146010A","25",".87","1.16"
"05OG146010A","38",".71",".96"
"05OG146010A","50",".58",".8"
"0604-52137-2020-2","10","1.316","1.742"
"0604-52137-2020-2","15","1.208","1.608"
"0604-52137-2020-2","20","1.103","1.487"
"0604-52137-2020-2","","",""
"0604-52137-2020-2","","",""
"0604-52137-2020-2","","",""
"0605-52137-2020-2","15","1.036","1.377"
"0605-52137-2020-2","20",".948","1.267"
"0605-52137-2020-2","25",".873","1.173"
"0605-52137-2020-2","","",""
"0605-52137-2020-2","","",""
"0605-52137-2020-2","","",""
"0606-52137-2020-2","15","1.077","1.428"
"0606-52137-2020-2","20",".994","1.325"
"0606-52137-2020-2","25",".879","1.177"
"0606-52137-2020-2","","",""
"0606-52137-2020-2","","",""
"0606-52137-2020-2","","",""
"0655-52134-2021-3","20","3.524","4.386"
"0655-52134-2021-3","30","2.679","3.366"
"0655-52134-2021-3","40","2.186","2.774"
"0655-52134-2021-3","","",""
"0655-52134-2021-3","","",""
"0655-52134-2021-3","","",""
"0675-52137-2020-3","10","1.885","2.422"
"0675-52137-2020-3","15","1.657","2.139"
"0675-52137-2020-3","20","1.466","1.902"
"0675-52137-2020-3","","",""
"0675-52137-2020-3","","",""
"0675-52137-2020-3","","",""
"0676-52137-2020-3","10","1.662","2.147"
"0676-52137-2020-3","15","1.473","1.913"
"0676-52137-2020-3","20","1.325","1.73"
"0676-52137-2020-3","","",""
