"OIL_DIST FILE"
"Oil_lab_num","Fractn_distlld_vol","Distlltn_temp (C)"
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0189-52134-2021-9","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0299-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0361-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0399-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0400-52134-2021-2","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0438-52134-2020-5","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0439-52134-2020-11","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-3","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
