Well Authorization Number,Completion Event Sequence,UWI,Zone Prod Period,Area Code,Formtn Code,Well Area Name,Oper Abbreviation,Production Days,Gas Production (e3m3),Oil Production (m3),Condensate Production (m3),Water Production (m3),Marketable Gas Volume (e3m3),Ethane Sales Volume (m3),Propane Sales Volume (m3),Butane Sales Volume (m3),Pentane Sales Volume (m3)
28313,00,100011807918W600,202203,9021,5000,SUNSET,SHELL,31,479.4,0,0,27.1,467.2,.5,1.7,2.1,6.1
28316,00,103160707918W600,202203,9021,5000,SUNSET,SHELL,31,814.9,0,0,107.8,794.3,.8,3,3.7,9.2
28316,00,103160707918W600,202204,9021,5000,SUNSET,SHELL,30,791.5,0,0,109.9,771.8,.6,2.9,3.6,8.3
28340,00,202C097B094G0200,202203,9022,5000,JULIENNE,PETRONAS,11,273.8,0,0,15.5,257.8,.1,.5,.7,1.4
28918,00,100050407915W600,202203,9021,5000,DAWSON,ARCRES,31,360,0,0,13.1,346.3,.2,1.8,4.7,8.9
28918,00,100050407915W600,202204,9021,5000,DAWSON,ARCRES,29,334,0,0,14,321,.1,1.6,4.6,9.7
28966,00,200D050G094G0200,202203,9022,5000,LILY,PETRONAS,30.9,951,0,0,53.6,895.8,.7,1.5,2.5,3.9
29559,00,200A095A094B1600,202204,9022,5000,GUNDY,PETRONAS,22,161,0,1.3,36.7,147.6,0,6.8,8.5,5.6
30172,00,204A100H094B0900,202202,9022,5000,TOWNSEND,CNRL,28,276.5,0,6,15.5,3.4,0,0,0,0
30174,00,105091907817W600,202204,9021,5000,SUNRISE,ARCRES,26.1,2060.3,0,0,76.8,2060.8,0,0,0,6.8
30200,00,104103607918W600,202204,9021,5000,SUNRISE,OVV,29.9,271.9,0,4.2,62.4,259.3,.3,10.8,10.8,8.4
30888,00,102081808015W600,202203,9021,5000,DOE,TOURMALINE,31,538.5,0,0,58.3,0,.3,29.4,24.3,38.4
30932,00,102040908017W600,202203,9021,5000,SUNRISE,OVV,30.6,1070.7,0,57.7,97,1018.8,.9,66.2,52,30.2
