"DST_RATE FILE"
"Wa_num","Drillng_event_seq","Dst_num","Flowing_fluid_type","Init_fluid_rate","Avg_fluid_rate","Final_fluid_rate"
"00095","00","009","GAS","191.442","0","0"
"00095","00","011","GAS","3.913","0","0"
"00096","00","001","GAS","126.783","0","0"
"00096","00","002","GAS","39.444","0","8.452"
"00096","00","003","GAS","146.505","0","0"
"00097","00","014","GAS","8.734","0","2.479"
"00097","00","015","GAS","91.929","0","46.543"
"00098","00","001","GAS","1.493","0","0"
"00098","00","003","GAS","1.24","0","0"
"00098","00","004","GAS","5.071","0","22.539"
"00099","00","008","GAS","64.659","0","59.588"
"00101","00","001","OIL","0","1.59","0"
"00103","02","008","GAS","26.765","0","33.189"
"00103","02","013","GAS","17.214","0","42.881"
"00104","00","001","GAS","8.452","0","0"
"00104","00","004","GAS","0","13.636","0"
"00104","00","010","GAS","0","129.6","0"
"00104","00","011","GAS","0","46.234","0"
"00106","00","001","GAS","0","7.917","0"
"00107","00","001","GAS","0","0","5.519"
"00107","00","003","GAS","0","12.96","13.185"
"00114","00","011","GAS","2.536","0","2.254"
"00116","00","003","GAS","43.163","0","28.566"
"00119","00","001","GAS","0","0","56.348"
"00119","00","005","GAS","0","7.889","0"
"00119","00","013","GAS","0","11.27","0"
"00119","00","015","GAS","0","22.765","0"
"00122","00","001","GAS","8.452","0","8.452"
"00122","00","003","GAS","3.494","0","0"
"00122","00","005","GAS","140.166","140.166","0"
"00129","00","002","GAS","4.93","0","5.209"
"00129","00","011","GAS","176.087","0","0"
"00130","00","004","GAS","76.887","0","135.091"
"00130","00","005","GAS","8.988","0","12.115"
"00130","00","012","GAS","2.648","0","0"
"00131","00","003","GAS","0","0","70.069"
"00131","00","004","GAS","0","0","90.52"
"00131","00","005","GAS","0","0","19.184"
"00135","00","012","GAS","0","0","1.409"
"00135","00","014","GAS","0","0","21.891"
"00141","00","006","GAS","19.637","0","27.611"
"00141","00","007","GAS","34.429","0","43.554"
"00141","00","010","GAS","0","0","69.418"
"00141","00","011","GAS","74.827","0","103.427"
"00141","00","012","GAS","95.989","0","151.661"
"00141","00","013","GAS","67.868","0","159.124"
"00141","00","015","GAS","10.168","0","15.017"
"00141","00","024","GAS","9.576","0","4.93"
"00141","00","026","GAS","6.762","0","9.72"
"00141","00","027","GAS","32.116","0","51.277"
"00141","00","028","GAS","14.65","0","35.553"
"00141","00","029","GAS","0","0","3.043"
"00141","00","030","GAS","4.899","0","8.396"
"00142","00","002","GAS","0","0","10.368"
"00145","00","001","GAS","33.809","0","0"
"00145","00","002","GAS","132.418","0","0"
"00148","00","014","GAS","0","0","2.817"
"00153","00","019","GAS","0","0","19.327"
"00153","00","020","GAS","0","0","307.096"
"00153","00","021","GAS","0","0","9.126"
"00153","00","022","GAS","0","0","6.424"
"00153","00","023","GAS","19.722","0","20.68"
"00154","00","012","GAS","89.424","0","0"
"00154","00","015","GAS","129.037","0","0"
