"OIL_ANAL FILE"
"UWI","Area_code","Formtn_code","Pool_seq","Wa_num","Drillng_event_seq","Oil_lab_num","Sample_point_code","Test_Perf_Flag","Oil_anlyss_base_depth (m)","Oil_anlyss_top_depth (m)","Sample_date","Bsw_total","Reltv_densty (kg/m3)","Abslt_oil_densty (kg/m3)","Api_gravty","Tot_sulphr_mass_fractn","Pour_point_usb_m (C)","Distlltn_crackd (C)","Naphtha_fractn_200C","Kersn_fractn_275C","Light_gas_oil_fractn_350C","Charctrzed_factor","Invert_mud_sample","Oil_anlyss_comments","Pour_point_astm (C)","Press_recvd (kPa)","Temp_recvd (C)","Distlltn_method_type","Final_boil_point (C)","Project_code"
"100011508419W600","3600","4100","B","00030","00","E77-8948","SEP","","1226.8","1221.9","19770725","0",".781","0","49.7",".67","","367.7",".83",".75","0","0","","","","2689","33.3","ENG","","00"
"100031408318W600","","","","00034","00","8685","","","0","0","19560804",".07",".827","0","39.6",".23","","",".35",".15","0","0","","","","0","","HEM","321.1",""
"100031408318W600","","","","00034","00","R312","DST","","0","0","19520704",".01","0","0","37.7",".04","","","0","0","0","0","","","","0","","HEM","",""
"100123408317W600","","","","00035","00","E90-8495","WHD","","0","0","19900926","3.69",".8","799","45.4",".0043","-18","366",".37",".13",".18","12.3","","","0","0","0","MOD","0",""
"200D098I094A1100","","","","00045","00","805P","OTH","","0","0","19650614","0","0","0","32.2",".87","","","0","0","0","0","","","","0","","MOD","",""
"100130108420W600","8360","4800","B","00047","00","F87-2816-3","SEP","","1635.8","1632.2","19871214","0",".778","777","50.4",".0062","0","0",".62",".12",".09","0","","","0","0","0","MOD","394","00"
"200A079B094H0400","","","","00061","00","808P","","","0","0","19650615","0","0","0","39.7",".65","","","0","0","0","0","","","","0","","","",""
"200C010A094A1400","","","","00065","00","633P","SEP","","1157","1141.4","19640530","0","0","0","44","0","","","0","0","0","0","","","","0","","MOD","",""
"200C032D094A1300","1400","2900","B","00070","00","F89-0282-3","SEP","","1318","1292.4","19890804",".05",".763","762","54",".001","0","0",".88",".04","0","0","","","0","0","0","MOD","277","02"
"100043608216W600","","","","00077","00","80P","DST","","1951.8","1945.4","19531119","0",".821","0","40.8",".18","","","0",".123",".137","0","","","","0","","","",""
"200B023E094A1400","","","","00086","00","E80-14371-2","MET","","0","0","19801203","0",".731","730","0","0","0","0",".9549","0","0","0","","SAMPLE CONSISTED OF 8.5% SALTY WATER, 91.5% CONDENSATE.","0","0","0","ENG","236",""
"200D083J094A1100","2400","2900","C","00096","00","625P","SEP","","1147.2","1143.6","19610530","0","0","0","54","0","","","0","0","0","0","","","","0","","MOD","","00"
"200D095K094A1100","","","","00099","00","426P","SEP","","0","0","19580417","0","1.005","0","57","0","","","0","0","0","0","","SAMPLE CRUDE OIL OR CONDENSATE WITH 11% WATER CUT.","","0","","","",""
"100060708520W600","9000","4500","06-07-085-20-W6M","00102","00","E80-9081-2","SEP","","1427.7","1425.9","19800825","0",".738","738","0",".0045","0","0",".99","0","0","0","","","0","0","0","ENG","230","00"
"200B038C094A1300","","","","00103","00","E12255","SEP","","1715.3","1703.4","19580718","0",".768","0","52.6",".32","","","0","0","0","0","","","","275.8","31.1","","",""
"100143608619W600","","","","00104","00","E81-17900-3","SEP","","0","0","19810208","0",".76","759","0",".004","0","0",".91","0","0","0","","","0","0","0","ENG","229",""
"100143608619W600","","","","00104","00","E81-17900-5","SEP","","0","0","19810227","0",".755","755","0",".004","0","0",".94","0","0","0","","","0","0","0","ENG","217",""
"100050108725W600","4600","4100","A","00107","00","10576","","","1142","1123.1","19571009",".03",".744","0","58.7",".56","","","0","0","0","0","","","","0","","","","02"
"100050108725W600","","","","00107","00","E12309","SEP","","0","0","19580722","0",".696","0","71.8",".23","","","0","0","0","0","","","","0","","","",""
"200C079J094A1100","","","","00110","00","E78-2063","SEP","","0","0","19780911","0",".746","745","0",".0027","0","303",".82",".12","0","0","","","0","0","0","ENG","0",""
"100042708817W600","7600","2900","F","00130","00","779P","SEP","","1076.2","1073.1","19650326","0","0","0","60.7",".07","","","0","0","0","0","","","","0","","MOD","209.4","00"
"100042708817W600","7600","2900","F","00130","00","792P","","","1076.2","1073.1","19650527","0","0","0","57.7",".14","","","0","0","0","0","","","","0","","MOD","","00"
"100042308619W600","","","","00134","00","185P","DST","","1258.2","1251.4","19550413","0","0","0","34.7","0","","","0","0","0","0","","","","0","","","",""
"200D094I094B0800","5200","7400","","00141","00","8124-1","","","2109.1","2077.4","19560325","0",".841","0","36.8","0","","","0","0","0","0","","","","0","","","","00"
"200D094I094B0800","5200","7400","","00141","00","8169-1","","","2036.3","2008.5","19560410","0",".755","0","55.7","0","","",".765",".18","2.5","0","","","","0","","","295.5","00"
"200D094I094B0800","5200","7400","","00141","00","8176-1","SEP","","2036.3","2008.5","19560421","0",".728","0","62.8",".05","","",".92","0","0","0","","8176-2: 5010-5080', SPEC GRAV 0.726, API 63.40, SULFUR 0.05, ENGLER DISTL, NAPTHA 91.0, F.B.P.514.","","0","","ENG","257.7","00"
"200D094I094B0800","5200","4800","A","00141","00","8176-2","","","1548.3","1527","19560430","0",".728","0","62.8",".05","","",".91","0","0","0","","","","0","","ENG","267.7","00"
"200D094I094B0800","5200","4500","B","00141","00","8188-7","SEP","","1399.3","1371.5","19560507","0",".734","0","61.3",".05","","",".84","0","0","0","","","","0","","","271.1","00"
"200D094I094B0800","5200","7400","","00141","00","C788","","","2109.1","2077.4","19560327","0",".838","0","37.4","0","","320","7",".135","0","0","","SAMPLE CONTAINED 7%-10% WATER & BLACK SEDIMENT.","","0","","HEM","","00"
"100062908115W600","6600","6200","A","00153","00","L-21156","DST","","2132","2127.4","19560324",".02","0","0","40.3","0","","","0","0","0","0","","","","0","","","","00"
"100062908115W600","6600","6200","A","00153","00","L-21356","DST","","2132","2127.4","19560508",".06","0","0","40.8","0","","","0","0","0","0","","","","0","","","","00"
"200A063G093I1500","","","","00158","00","C1194","","","3632.4","3630","19570531","0","0","0","0","0","","",".24","0","0","0","","APPEARS TO BE AN ORDINARY DIESEL FUEL OR STONE OIL.","","0","","","",""
"100132608816W600","","","","00160","00","E77-1438","AOF","","0","0","19770102","7.8",".782","0","49.5",".2","","","0",".885","0","0","","78.0% WATER REPORTED UNDER BS&W APPEARED TO BE ALCOHOL. IT HAD AN ALCOHOL ODOR AND A SPEC. GRAV. OF 0.861 @ 60F. WATER SAMPLE TURNED OUT TO BE ALL ALCOHOL.","","0","","ENG","246.6",""
"200D082I094B0900","","","","00165","00","E10479-1","","","0","0","19570911","1.4",".77","0","52",".2699","","","0","0","0","0","","E10479-2: SPEC. GRAV. 0.806, API 44.06, BS&W 34%, 1957-09-12","","0","","","",""
"200B003I094B1600","","","","00168","00","E80-9258-2","OTH","","0","0","19800820","0",".706","706","0",".0054","0","0","0","0","0","0","","","0","0","0","ENG","194",""
"200A034D094A1300","","","","00175","00","10441","OTH","","0","0","19570917","0",".74","0","59.5",".14","","","0","0","0","0","","","","0","","","355.5",""
"200A034D094A1300","","","","00175","00","????DAC4????","OTH","","0","0","19570907","0",".729","0","62.5","0","","","0","0","0","0","","","","4619.5","26.1","","",""
"200A028K094A1400","2700","2900","D","00185","00","8717","","","1195.1","1189","19560915","0",".779","0","50.1",".14","","","0","0","0","0","","","","0","","","","00"
"200A028K094A1400","2700","2900","D","00185","00","E17224","AOF","","1193.7","1190.9","19610202","0",".74","0","59.7",".13","","227.7","0","0","0","0","","","","0","","ENG","227.7","00"
"100113208217W600","4000","6200","A","00201","00","F-48-2","SEP","","1905.5","1898.8","19570612","0",".762","0","54.2",".2","","","0","0","0","0","","","","0","","","291.6","00"
"200D082L094A1200","","","","00205","00","10403","OTH","","0","0","19570904",".09",".809","0","43.4",".23","","","0","0","0","0","","","","0","","","",""
"200D082L094A1200","","","","00205","00","??DAC4??","OTH","","0","0","19570930","0",".814","0","42.3","0","","","0","0","0","0","","GOR 132 CUFT.","","4136.9","39.4","","",""
"100111008514W600","","","","00227","00","242-57","","","0","0","19570502",".01",".836","0","36.4",".836","","","0","0","0","0","","","","0","","ENG","",""
"200D059A094H0300","9000","2900","D-059-A/094-H-03","00240","00","E21341","OTH","","1157","1148.4","19630309","0",".77","0","52",".64","","279.4","0","0","0","0","","","","0","","ENG","","00"
"200D050K094A1200","1400","7400","A","00242","00","E11029","","","2080.8","2063.4","19571230",".45",".815","0","41.9",".19","","","0","0","0","0","","","","0","","","","02"
"200D073G094H0200","","","","00248","00","9614","DST","","1125","1132.6","19570401",".02",".825","0","40",".7","","","0","0","0","0","","","","0","","","",""
"100012308414W600","","","","00250","00","L-24757","DST","","1339.5","1328.9","19570417","3","0","0","31.5","1.51","","","0","0","0","0","","","","0","","","",""
"100012308414W600","","","","00250","00","L-24857","DST","","1339.5","1328.9","19570417","4","0","0","32.1","1.49","","","0","0","0","0","","","","0","","","",""
"100012308414W600","2000","4535","A","00250","00","L90057","DST","","1353.2","1351.7","19570524","1","0","0","33.5",".89","","","0","0","0","0","","","","0","","","","02"
"200D021G094B0900","","","","00251","00","E10011","DST","","0","0","19570617","0",".76","0","54.7",".18","","","0","0","0","0","","","","0","","","303.3",""
"200B069A094B1600","","","","00253","00","284 ENG.","SEP","","0","0","19590413","0",".737","0","60.2",".13","","","0","0","0","0","","","","0","","","",""
"200B069A094B1600","","","","00253","00","E12192","SEP","","0","0","19580625","0",".716","0","66.1",".2","","","0","0","0","0","","","","0","","","",""
"200B069A094B1600","4400","4560","A","00253","00","E12242","SEP","","1706.2","1703.1","19580702","0",".743","0","59.2",".14","","","0","0","0","0","","","","0","","","","00"
"200B091D094A1400","2800","2900","B","00255","00","F89-4962-3","SEP","","1157.8","1137.8","19890516",".01",".752","751","56.7",".0021","0","0",".81",".04",".03","0","","","0","0","0","MOD","355","00"
"200C005C094A1400","","","","00264","00","428P","","","0","0","19580429","0","1.005","0","60.4","0","","","0","0","0","0","","","","0","","","",""
"200D089C094A1400","","","","00268","00","422P","SEP","","0","0","19580409","0","1.124","0","0","0","","","0","0","0","0","","423P: SP. GRAV. 1.123, ETHYLENE GLYCOL 424P: MOSTLY OIL API 48.4, 425P: SP. GRAV. 1.120","","0","","","280",""
"200D046D094A1300","","","","00272","00","10454","OTH","","0","0","19570909",".1",".825","0","40",".3","","","0","0","0","0","","","","0","","","396.1",""
"100022008825W600","","","","00278","00","F88-3304-4","SEP","","0","0","19880316","0",".768","768","52.5",".0026","0","0",".77",".11","0","0","","","0","0","0","MOD","307",""
"200A031A094A1400","2400","2900","B","00295","00","802P","OTH","","1111.9","1098.4","19650614","0","0","0","57",".11","","","0","0","0","0","","","","0","","MOD","","00"
"100142008413W600","2000","4535","A","00296","00","653P","OTH","","1332.5","1327","19610311","0","0","0","0","0","","","0","0","0","0","","WATER 1.2% BY WEIGHT, OILY LIQUID 0.1% VOL/WT.","","0","","","","02"
"200A050D094G0100","","","","00304","00","E12584-2","","","0","0","19580925","0",".771","0","51.8",".22","","","0","0","0","0","","","","0","","","294.4",""
"200A050D094G0100","5100","4800","A","00304","00","E71-3995","SEP","","1993.9","1981.4","19710212","0",".791","0","47.4",".26","","","0","0","0","0","","","","0","","ENG","312.2","02"
"200B038J094H0200","0400","4800","A","00309","00","11399","DST","","1149","1136.8","19580228","1.5",".825","0","40",".87","","","0","0","0","0","","#11399-2: SPEC GRAV 0.825, API 40.02, BS&W 0.1%","","0","","","","02"
"200B075J094A1400","","","","00310","00","F-192","","","1679.4","1645.8","19580118","0",".833","0","38.2","0","","","0","0","0","0","","","","0","","","",""
"200A035H094G0800","","","","00327","00","E11643","","","0","0","19580322","0",".702","0","70.1",".04","","","0","0","0","0","","","","0","","","",""
"200B036C094A1300","1600","7400","A","00331","00","E12252","SEP","","2064","2059.7","19580705","0",".762","0","54.2",".45","","","0","0","0","0","","","","0","","","258.3","00"
"200D064G094H0200","","","","00341","00","E11615","OTH","","0","0","19580324","0",".827","0","39.6",".6799","","","0","0","0","0","","","","0","","","",""
"100113508625W600","4600","4100","A","00351","00","E12314","SEP","","1119.8","1098.4","19580717","0",".714","0","66.8",".23","","","0","0","0","0","","","","0","","","","02"
"202D050K094A1200","1400","2900","A","00357","00","E12270","SEP","","1325.8","1319.1","19580712","0",".761","0","54.4",".3","","","0","0","0","0","","","","0","","","","02"
"100160308514W600","","","","00359","00","E12271","SEP","","1219.8","1189.3","19580711","0",".756","0","55.4",".32","","","0","0","0","0","","","","0","","","",""
"200D002G094B1600","4400","4100","B","00367","00","E12456","SEP","","1369.1","1363","19580908","0",".728","0","62.7",".26","","","0","0","0","0","","","","2895.8","35.5","","","00"
"100163108413W600","","","","00369","00","610517","","","0","0","19610517","4",".856","0","0",".6799","-6.6","",".266",".98","8.1","0","","","","0","","","",""
"200B070B094H0400","","","","00383","00","717P","SEP","","0","0","19630227","0","0","59","0","0","","","0","0","0","0","","","","0","","","",""
"200D073D094A1400","","","","00388","00","557P","DST","","1162.5","1159.1","19600819","0","0","0","33.8",".69","","","0","0","0","0","","","","0","","MOD","",""
"200C067K094I1400","","","","00404","00","E13772-2","SEP","","0","0","19560307","0",".819","0","41.1",".51","","","0","0","0","0","","","","0","","","273.8",""
"200D039K094H0200","","","","00408","00","E13532","","","1021.9","1028","19581227","0","0","0","41.9","0","","","0","0","0","0","","RECOVERED 11 BBLS. OIL REVERSED OUT. SPEC. GRAV. @ 60/60F:: 0.816, POUR POINT: 20F.","","0","","","",""
"200D039K094H0200","","","","00408","00","E19351-2","","","0","0","19620430","0",".814","0","42.1",".49","","",".315",".32","7","0","","","","0","","","323.3",""
"200A022B094A1300","","","","00412","00","E13492","DST","","1206.9","1200.9","19590123",".02",".824","0","40.2",".77","-31.6","","0","0","0","0","","","","0","","","",""
"200A022B094A1300","4900","4535","","00412","00","E13805","SEP","","1399.9","1398.4","19590318","0",".711","0","67.5",".8","","","0","0","0","0","","","","0","","","","00"
"200A022B094A1300","","","","00412","00","E14188","SEP","","0","0","19590515","0",".74","0","59.6",".32","","","0","0","0","0","","","","0","","","",""
"200D039E094A1600","6800","4800","","00418","00","E13846","","","1178","1170.4","19590321",".09",".827","0","39.6",".82","","","0","0","0","0","","","","0","","","","02"
"200D039E094A1600","","","","00418","00","E13927","SEP","","0","0","19560319",".01",".823","0","40.4",".72","","335.5","0","0","0","0","","","","0","","","",""
"200D039E094A1600","","","","00418","00","E77-8641-1","OTH","","0","0","19770902",".5",".825","0","40",".69","4.4","335",".295",".205","0","12.2","","","","0","","HEM","",""
"100100108620W600","","","","00438","00","F2412","","","0","0","19650813",".04","0","0","0","0","","","0","0","0","0","","","","0","","","",""
"100112708616W600","","","","00444","00","E69-10958","SEP","","0","0","19690820",".01",".808","0","43.6",".71","","349.4",".389",".142",".159","12.3","","","","0","","HEM","",""
"100112708616W600","7840","4800","A","00444","00","E69-11440","","","1409.6","1405.1","","0",".801","0","45","0","","","0","0","0","0","","","","0","","","","00"
"200D020H094H0200","","","","00449","00","E20701","","","0","0","19621218","0",".814","0","42.3",".8","","337.7","0","0","0","0","","","","0","","","",""
"200A001G094H0400","","","","00456","00","E67-5160","","","0","0","19671012","0",".732","0","61.8","0","","","0","0","0","0","","","","0","","","",""
"200B044I094G0100","","","","00466","00","831P","","","0","0","19650714","0","0","0","55.9",".35","","","0","0","0","0","","","","0","","MOD","",""
"200B010B094G0800","5000","4150","A","00473","00","F88-4217-2","OTH","","1437.7","1382.9","19881124",".51",".75","749","57.2",".005","0","0",".92","0","0","0","","","0","0","0","MOD","238","00"
"200B066I094G0100","","","","00480","00","829P","","","0","0","19650714","0","0","0","55",".25","","","0","0","0","0","","","","0","","MOD","",""
"200B042L094A1300","0200","2700","A","00485","00","558P","DST","","1348.7","1336.5","19600819","0","0","0","37.5",".24","","","0","0","0","0","","","","0","","MOD","","03"
"200B042L094A1300","","","","00485","00","E15000","","","0","0","19591020","0",".829","0","39.2",".22","","21.1","0","0","0","0","","","","0","","","",""
"100083508514W600","","","","00488","00","6042-52136-14-10","WHD","","1325.6","1323.8","20140122",".18","","864.1","","","","","0","0","0","","","Free water (volume %) = 94","-30","","","","",""
"100083508514W600","2000","4535","A","00488","00","6550-52136-15-12","WHD","","1330.8","1323.8","20150729",".02","","862.4","","","","","0","0","0","","","Free water (volume %) = 85","-24","","","","","04"
"100083508514W600","2000","4535","A","00488","00","9015-52136-16-6","WHD","","1330.7","1323.8","20160125",".17","","864","","","","","0","0","0","","","Free water (volume %) = 87","-18","","","","","04"
"100083508514W600","","","","00488","00","9025-52136-15-10","TUB","","1325.6","1323.8","20150128",".18","","865.5","","","","","0","0","0","","","Free water (volume %) = 90","-18","","","","",""
"200A081A094G0800","","","","00490","00","801P","OTH","","0","0","19650601","0","0","0","52.7",".11","","","0","0","0","0","","","","0","","MOD","",""
"200D053G094A1300","3540","2900","C","00497","00","E75-1502","OTH","","1197.2","1192","19751125","0",".748","0","57.7",".37","","",".92","0","0","0","","","","0","","ENG","267.7","00"
"100082608514W600","2000","4535","A","00550","00","6042-52136-14-27","WHD","","1300.9","1296","20140122",".27","","855.4","","","","","0","0","0","","","Free water (volume %) = 69","-18","","","","","04"
"100082608514W600","2000","4535","A","00550","00","6550-52136-15-13","WHD","","1300.8","1295.9","20150729",".252","","851.6","","","","","0","0","0","","","Free water (volume %) = 19","-9","","","","","04"
"100082608514W600","2000","4535","A","00550","00","9015-52136-16-74","WHD","","1300.9","1296","20160126",".038","","852.7","","","","","0","0","0","","","Free water (volume %) = 57","-42","","","","","04"
"100082608514W600","2000","4535","A","00550","00","9025-52136-15-6","TUB","","1300.9","1296","20150128",".027","","859.1","","","","","0","0","0","","","Free water (volume %) = 62","-15","","","","","04"
"200D074H094H0200","","","","00559","00","E15552","DST","","1040.8","1114.3","19600209",".01",".822","0","40.6",".76","","",".3",".31","0","0","","F-747-2: SPEC GRAV 0.808, API 42.7","","0","","","",""
"200D080E094A1600","","","","00569","00","605P","DST","","0","0","19600819","0","0","0","38.8","1.25","","","0","0","0","0","","","","0","","","",""
"200D080E094A1600","6800","4800","","00569","00","E15797","OTH","","1163.7","1160.6","19600310","2.5",".828","0","39.3",".88","","371.6","0","0","0","0","","","","0","","","","02"
"200C052K094H0600","","","","00571","00","D78-6715","AOF","","0","0","19780315","0",".742","0","59.2",".375","","",".935","0","0","0","","","","0","","ENG","238.8",""
"100142608514W600","2000","4535","A","00573","00","6552-52136-15-11","WHD","","1313.3","1306","20150729",".02","","874.2","","","","","0","0","0","","","Free water (volume %) = 93","-18","","","","","04"
"100142608514W600","2000","4535","A","00573","00","9015-52136-16-44","WHD","","1313.4","1306.1","20160125",".14","","872.1","","","","","0","0","0","","","Free water (volume %) = 80","-12","","","","","04"
"100142608514W600","2000","4535","A","00573","00","9025-52136-15-7","TUB","","1313.3","1306","20150128","","","873.5","","","","","0","0","0","","","Free water (volume %) = 94","0","","","","","04"
"200D097D094A1300","1400","2900","B","00581","00","541P","DST","","1304.8","1277.1","19600331","0","0","0","42.5","0","","","0","0","0","0","","","","0","","","","02"
"200D097D094A1300","","","","00581","00","621P","","","0","0","19600927","0","0","0","57.6","0","","","0","0","0","0","","","","0","","","",""
"200D097D094A1300","","","","00581","00","E15823","DST","","0","0","19600318","0",".812","0","42.8",".4","","383.3","0","0","0","0","","","","0","","","",""
"100081308514W600","2000","4535","A","00603","00","0162-52136-15-8","TUB","","1296.3","1284.7","20150129",".018","","861.4","","","","","0","0","0","","","Free water (volume %) = 93","-15","","","","","05"
"100081308514W600","2000","4535","A","00603","00","6551-52136-15-5","WHD","","1296.3","1284.7","20150730",".003","","858.4","","","","","0","0","0","","","Free water (volume %) = 89","-24","","","","","05"
"100081308514W600","2000","4535","A","00603","00","9015-52136-16-57","WHD","","1296.3","1284.7","20160126",".026","","859.2","","","","","0","0","0","","","Free water (volume %) = 91","-15","","","","","05"
"100140808613W600","2000","4535","A","00604","00","C2815","DST","","1279.3","1275","19600330",".02",".859","0","33.2",".76","","328.8",".283",".147","0","0","","","","0","","HEM","","03"
"200D004C094H0700","","","","00609","00","E15795","DST","","0","0","19600316","0",".84","0","36.9","0","","","0","0","0","0","","","","0","","","",""
"200A079F094G0100","1000","4100","B","00620","00","E16672","AOF","","1523.9","1484.9","19601022","0",".742","0","59.2",".7419","","",".975","0","0","0","","","","0","","ENG","215","00"
"200A079F094G0100","1000","4100","B","00620","00","F88-3604-2","SEP","","1513","1489","19880616","0",".732","731","61.8",".0082","0","0","0","0","0","0","","","0","0","0","MOD","206","00"
"200C084C094G0100","1000","4100","A","00622","00","E86-2678-3","MET","","1482.3","1459.1","19860204","0",".736","736","60.5",".004","0","0",".99","0","0","0","","","0","0","0","MOD","218","02"
"100081208514W600","2000","4535","A","00625","00","6551-52136-15-4","WHD","","1292.9","1286.2","20150730",".04","","863","","","","","0","0","0","","","Free water (volume %) = 91","-42","","","","","05"
"100081208514W600","2000","4535","A","00625","00","9015-52136-16-59","WHD","","1292.2","1286.2","20160126",".056","","862.7","","","","","0","0","0","","","Free water (volume %) = 91","-12","","","","","05"
"100081208514W600","2000","4535","A","00625","00","9025-52136-15-25","TUB","","1292.9","1286.2","20150128",".244","","864.6","","","","","0","0","0","","","Free water (volume %) = 95","-15","","","","","05"
"100081208514W600","2000","4535","A","00625","00","9106-52136-14-3","OTH","","1292.9","1286.2","20140509","","","861.2","","","","","0","0","0","","","","","","","","","05"
"200C056E094H0500","","","","00650","00","828P","","","0","0","19650715","0","0","0","47.5",".04","","","0","0","0","0","","","","0","","","",""
"200A025H094G0800","","","","00654","00","821P","","","0","0","19650714","0","0","0","43.3",".1699","","","0","0","0","0","","","","0","","MOD","",""
"200B044E094H0500","","","","00659","00","833P","","","0","0","19650715","0","0","0","60.1",".03","","","0","0","0","0","","","","0","","","",""
"200A046H094G0800","","","","00665","00","825P","","","0","0","19650715","0","0","0","51",".12","","","0","0","0","0","","","","0","","MOD","",""
"100112408514W600","","","","00692","00","E17150-2","","","0","0","19610208","0",".845","0","36","0","","356.6",".31",".135",".165","0","","","","0","","ENG","",""
"100112408514W600","","","","00692","00","E17275","","","0","0","19610313","1.1",".845","0","35.8",".77","","323.3",".343",".143","0","0","","","","0","","HEM","",""
"100111708319W600","8360","4540","","00697","00","E17116","DST","","1358.4","1327.3","19610209",".6",".899","0","25.9",".7","","375.5","8",".95",".19","0","","","","0","","","","00"
"100111708319W600","","","","00697","00","E17162","DST","","1324.6","1333.7","19610217",".06",".894","0","26.6",".4","","363.3","8.6",".9",".199","0","","","","0","","ENG","",""
"100111708319W600","8360","6200","A","00697","00","E17449","","","1941.5","1926.5","19610412","0",".794","0","46.7",".62","","340.5",".53",".143","0","0","","","","0","","HEM","","00"
"100111708319W600","8360","6200","A","00697","00","E18869","OTH","","1939","1926.5","19620217","0",".812","0","42.8",".3399","","",".45",".17","0","0","","","","0","","HEM","320","00"
"100111708319W600","8360","4540","","00697","00","E18903","","","1328.6","1327.3","19620208","3.68",".895","0","26.6",".73","","363.3","8.6",".99",".215","0","","","","0","","HEM","","00"
"200D089D094H0200","","","","00707","00","E17301","","","0","0","19610303","0",".728","0","62.9",".29","","","0","0","0","0","","","","0","","ENG","237.7",""
"200D089D094H0200","3520","2700","B","00707","00","E17361","","","1012.8","1008.5","19610322","0",".743","0","68.9",".26","","","0","0","0","0","","","","0","","ENG","233.3","00"
"200D089D094H0200","3520","2700","B","00707","00","E21303-1","","","1013.1","1008.2","19630303","0",".767","0","53",".45","","","0","0","0","0","","","","0","","ENG","287.7","00"
"200D089D094H0200","3520","2710","","00707","00","E21379-2","","","1052.7","1048.5","19630321","0",".848","0","35.2",".88","","316.6",".262",".208","0","0","","","","0","","ENG","","00"
"200D050A094H0200","8300","4805","A","00709","00","E17291","OTH","","1102.7","1100.3","19610302","0",".816","0","41.7",".78","","372.2",".373",".193",".16","0","","","","0","","","","04"
"200A005A094H0600","7250","4800","A","00724","00","D78-6228","OTH","","1230.4","1228.3","19780303","0",".762","0","54",".5849","","",".825",".8","3","0","","","","0","","ENG","377.7","00"
"200D093J094A1100","2400","4520","A","00728","00","631P","SEP","","1283.8","1278","19610530","0","0","0","56.2","0","","","0","0","0","0","","","","0","","","","00"
"200C016B094A1400","2400","2900","C","00744","00","652P","DST","","1122.5","1104.2","19610614","0","0","0","31","0","","","0","0","0","0","","","","0","","","","00"
"100081108614W600","2000","4535","A","00764","00","6042-52136-14-8","WHD","","1323.4","1307.5","20140122",".006","","857.4","","","","","0","0","0","","","Free water (volume %) = 89","-21","","","","","04"
"100081108614W600","2000","4535","A","00764","00","6550-52136-15-11","WHD","","1323.4","1307.5","20150729",".182","","865","","","","","0","0","0","","","Free water (volume %) = 81","-12","","","","","04"
"100081108614W600","2000","4535","A","00764","00","9015-52136-16-11","WHD","","1323.4","1307.5","20160125",".17","","866.5","","","","","0","0","0","","","Free water (volume %) = 85","0","","","","","04"
"100081108614W600","2000","4535","A","00764","00","9025-52136-15-15","TUB","","1323.4","1307.5","20150128",".18","","866.7","","","","","0","0","0","","","Free water (volume %) = 31","-9","","","","","04"
"100082208514W600","2000","4535","A","00768","00","0162-52136-15-9","TUB","","1337.1","1325.8","20150129",".046","","858.4","","","","","0","0","0","","","Free water (volume %) = 48","-18","","","","","04"
"100082208514W600","2000","4535","A","00768","00","6552-52136-15-14","WHD","","1337.1","1325.8","20150729",".001","","857.2","","","","","0","0","0","","","Free water (volume %) = 67","-45","","","","","04"
"100082208514W600","2000","4535","A","00768","00","9015-52136-16-62","WHD","","1337.1","1325.8","20160126",".044","","858.5","","","","","0","0","0","","","Free water (volume %) = 67","-39","","","","","04"
"200D096I094A1100","","","","00787","00","803P","OTH","","0","0","19650614","0","0","0","47.9",".11","","","0","0","0","0","","","","0","","MOD","",""
"100060508718W600","6200","4800","B","00801","00","E79-3821","SEP","","1427.1","1423.8","19781210",".01",".816","816","41.7",".0067","-35","343",".275",".2","0","12.2","","","0","24820","0","HEM","0","00"
"100081408614W600","2000","4535","A","00808","00","6042-52136-14-6","WHD","","1300.5","1286.2","20140122",".002","","860","","","","","0","0","0","","","Free water (volume %) =83","-27","","","","","04"
"100081408614W600","2000","4535","A","00808","00","6550-52136-15-7","WHD","","1300.5","1286.2","20150729",".146","","859.8","","","","","0","0","0","","","Free water (volume %) = 88","-27","","","","","04"
"200D091H094G0800","","","","00809","00","827P","","","0","0","19650714","0","0","0","62",".12","","","0","0","0","0","","","","0","","MOD","",""
"200D011C094A1400","2400","2900","C","00818","00","728P","AOF","","1109.1","1103","19630214","0","0","0","55.8","0","","","0","0","0","0","","","","0","","","","00"
"200A069A094H0400","","","","00819","00","E68-8086","OTH","","0","0","19681017",".7",".691","0","73","0","","","0","0","0","0","","","","0","","","",""
"200B062I094A1300","","","","00834","00","F-1145-2","","","0","0","19620102","0",".836","0","37.8","0","","","0","0","0","0","","","","0","","","",""
"200B024A094H0200","","","","00840","00","F-1144","","","0","0","19620104",".01",".829","0","39.2",".88","","328.8",".297",".213","0","0","","","","0","","HEM","",""
"200B042C094A1400","2400","2900","","00871","00","661P","DST","","1136.8","1131.4","19611229","0","0","0","38.6","0","","","0","0","0","0","","","","0","","MOD","","00"
"200D067D094H1200","","","","00886","00","E19048-6","","","0","0","19620302","0",".84","0","36.9","0","","","0","0","0","0","","E19048-7: SPEC GRAV 0.838, API 37.35","","0","","","",""
"200D070E094A1600","","","","00903","00","E18738","","","0","0","19620119","0",".845","0","35.8","0","","","0","0","0","0","","","","0","","","",""
"100071608623W600","4900","4100","A","00933","00","E18870","DST","","1328.9","1320.3","19620212","0",".834","0","38","1.2","","377.7",".321",".183",".176","0","","","","0","","ENG","","00"
